sample_id,Region,Latitude,Longitude
1291A,Am,12.954,36.157
2104A,Am,12.954,36.157
2445A,Am,12.954,36.157
1302A,Am,12.954,36.157
2940A,Am,12.954,36.157
2444A,Am,12.954,36.157
2110A,Am,12.954,36.157
1970A,Am,12.954,36.157
2097A,Am,12.954,36.157
1314A,Am,12.954,36.157
1941A,Am,12.954,36.157
1762A,Am,12.5,35.746
1763A,Am,12.5,35.746
1764A,Am,12.5,35.746
1767A,Am,12.5,35.746
1771A,Am,12.5,35.746
1791DA,Am,12.5,35.746
1835A,Am,12.5,35.746
1837DA,Am,12.5,35.746
1838A,Am,12.5,35.746
1840DA,Am,12.5,35.746
1841DA,Am,12.5,35.746
1843DA,Am,12.5,35.746
1855A,Am,12.5,35.746
1857A,Am,12.5,35.746
1858A,Am,12.5,35.746
1859DA,Am,12.5,35.746
1863DA,Am,12.5,35.746
1911DA,Am,12.5,35.746
1975A,Am,12.5,35.746
1993DA,Am,12.5,35.746
1842A,Am,12.5,35.746
1908DA,Am,12.5,35.746
1844A,Am,12.5,35.746
1979A,Am,12.5,35.746
1718A,Am,12.5,35.746
1719A,Am,12.5,35.746
1785DA,Am,12.5,35.746
1721A,Am,12.5,35.746
1851DA,Am,12.5,35.746
1972A,Am,12.5,35.746
1861DA,Am,12.5,35.746
1839A,Am,12.5,35.746
1834A,Am,12.5,35.746
1836DA,Am,12.5,35.746
1864DA,Am,12.5,35.746
1853DA,Am,12.5,35.746
1761A,Am,12.5,35.746
1722A,Am,12.5,35.746
1772-A,Am,12.5,35.746
1792A,Am,12.5,35.746
1720A,Am,12.5,35.746
1847A,Am,12.5,35.746
1793A,Am,12.5,35.746
1827A,Am,12.5,35.746
1695A,Am,12.5,35.746
1959A,Am,12.5,35.746
1921A,Am,12.5,35.746
1974A,Am,12.5,35.746
1831A,Am,12.5,35.746
1916A,Am,12.5,35.746
1919A,Am,12.5,35.746
1828A,Am,12.5,35.746
1784A,Am,12.5,35.746
1848A,Am,12.5,35.746
1765A,Am,12.5,35.746
1768A,Am,12.5,35.746
1395A,Am,12.5,35.746
1766A,Am,12.5,35.746
1403A,Am,12.5,35.746
1790A,Am,12.5,35.746
1862A,Am,12.5,35.746
1960A,Am,12.5,35.746
1846A,Am,12.5,35.746
1852A,Am,12.5,35.746
1860A,Am,12.5,35.746
1964A,Am,12.5,35.746
2000A,Am,12.5,35.746
1829A,Am,12.5,35.746
1832A,Am,12.5,35.746
1923DA,Am,12.5,35.746
1783A,Am,12.5,35.746
1769A,Am,12.5,35.746
1928A,Am,12.5,35.746
1770A,Am,12.5,35.746
1788A,Am,12.5,35.746
1696A,Am,12.5,35.746
1830A,Am,12.5,35.746
1826A,Am,12.5,35.746
1909DA,Am,12.5,35.746
1913A,Am,12.5,35.746
1849A,Am,12.5,35.746
1920A,Am,12.5,35.746
1694A,Am,12.5,35.746
1961A,Am,12.5,35.746
1918A,Am,12.5,35.746
1833A,Am,12.5,35.746
1723A,Am,12.5,35.746
1922A,Am,12.5,35.746
1845A,Am,12.5,35.746
1917A,Am,12.5,35.746
2560A,Am,13.33,36.75
2562DA,Am,13.33,36.75
2577A,Am,13.33,36.75
2589DA,Am,13.33,36.75
2597A,Am,13.33,36.75
2660A,Am,13.33,36.75
2671A,Am,13.33,36.75
2680A,Am,13.33,36.75
2685DA,Am,13.33,36.75
2690A,Am,13.33,36.75
2697A,Am,13.33,36.75
2713A,Am,13.33,36.75
2714A,Am,13.33,36.75
2863A,Am,13.33,36.75
2868A,Am,13.33,36.75
2927A,Am,13.33,36.75
2928A,Am,13.33,36.75
2951A,Am,13.33,36.75
2609A,Am,13.33,36.75
2717A,Am,13.33,36.75
2686A,Am,13.33,36.75
2603A,Am,13.33,36.75
2720A,Am,13.33,36.75
2595A,Am,13.33,36.75
2673A,Am,13.33,36.75
2870A,Am,13.33,36.75
2674A,Am,13.33,36.75
2957A,Am,13.33,36.75
2853A,Am,13.33,36.75
2619A,Am,13.33,36.75
2624A,Am,13.33,36.75
2852A,Am,13.33,36.75
2721A,Am,13.33,36.75
2866A,Am,13.33,36.75
2602A,Am,13.33,36.75
2943A,Am,13.33,36.75
2655A,Am,13.33,36.75
2651DA,Am,13.33,36.75
2872A,Am,13.33,36.75
2641A,Am,13.33,36.75
2672A,Am,13.33,36.75
2719A,Am,13.33,36.75
2593DA,Am,13.33,36.75
2709A,Am,13.33,36.75
2669A,Am,13.33,36.75
2666A,Am,13.33,36.75
2959A,Am,13.33,36.75
2646A,Am,13.33,36.75
2648A,Am,13.33,36.75
2695A,Am,13.33,36.75
2712DA,Am,13.33,36.75
2903DA,Am,13.33,36.75
2901DA,Am,13.33,36.75
2608DA,Am,13.33,36.75
2947A,Am,13.33,36.75
2625A,Am,13.33,36.75
2930A,Am,13.33,36.75
2961A,Am,13.33,36.75
2579A,Am,13.33,36.75
2683DA,Am,13.33,36.75
2561DA,Am,13.33,36.75
2606DA,Am,13.33,36.75
2960A,Am,13.33,36.75
2956DA,Am,13.33,36.75
2953A,Am,13.33,36.75
2722A,Am,13.33,36.75
2656A,Am,13.33,36.75
2285A,Am,13.33,36.75
2867A,Am,13.33,36.75
2667A,Am,13.33,36.75
2864DA,Am,13.33,36.75
2955A,Am,13.33,36.75
2614A,Am,13.33,36.75
2705A,Am,13.33,36.75
2873A,Am,13.33,36.75
2598A,Am,13.33,36.75
2591A,Am,13.33,36.75
2871A,Am,13.33,36.75
2935A,Am,13.33,36.75
2700A,Am,13.33,36.75
2952A,Am,13.33,36.75
2578A,Am,13.33,36.75
2708A,Am,13.33,36.75
2856A,Am,13.33,36.75
2572A,Am,13.33,36.75
2706A,Am,13.33,36.75
2878A,Am,13.33,36.75
2718A,Am,13.33,36.75
2724A,Am,13.33,36.75
2954A,Am,13.33,36.75
2701A,Am,13.33,36.75
2879A,Am,13.33,36.75
2733A,Am,13.33,36.75
2874A,Am,13.33,36.75
2858A,Am,13.33,36.75
2682A,Am,13.33,36.75
2573A,Am,13.33,36.75
2664A,Am,13.33,36.75
2698A,Am,13.33,36.75
2654A,Am,13.33,36.75
2702A,Am,13.33,36.75
2688A,Am,13.33,36.75
2644A,Am,13.33,36.75
2689A,Am,13.33,36.75
2643A,Am,13.33,36.75
2851A,Am,13.33,36.75
2616A,Am,13.33,36.75
2576A,Am,13.33,36.75
2730A,Am,13.33,36.75
2945A,Am,13.33,36.75
2622A,Am,13.33,36.75
2615A,Am,13.33,36.75
2649A,Am,13.33,36.75
2600DA,Am,13.33,36.75
2596A,Am,13.33,36.75
2729A,Am,13.33,36.75
2657A,Am,13.33,36.75
2659A,Am,13.33,36.75
2610A,Am,13.33,36.75
2877A,Am,13.33,36.75
2590A,Am,13.33,36.75
2601A,Am,13.33,36.75
2653A,Am,13.33,36.75
2575A,Am,13.33,36.75
2645A,Am,13.33,36.75
2767A,Am,13.33,36.75
2716A,Am,13.33,36.75
2734A,Am,13.33,36.75
2623A,Am,13.33,36.75
2681A,Am,13.33,36.75
2732A,Am,13.33,36.75
2647A,Am,13.33,36.75
2723A,Am,13.33,36.75
2652A,Am,13.33,36.75
2620A,Am,13.33,36.75
2665A,Am,13.33,36.75
2605A,Am,13.33,36.75
2599A,Am,13.33,36.75
2691A,Am,13.33,36.75
2574A,Am,13.33,36.75
2726A,Am,13.33,36.75
2563A,Am,13.33,36.75
2949A,Am,13.33,36.75
2592A,Am,13.33,36.75
2715A,Am,13.33,36.75
2880A,Am,13.33,36.75
2707A,Am,13.33,36.75
2958A,Am,13.33,36.75
2663A,Am,13.33,36.75
2699A,Am,13.33,36.75
2731A,Am,13.33,36.75
2710A,Am,13.33,36.75
2617A,Am,13.33,36.75
2728A,Am,13.33,36.75
2668A,Am,13.33,36.75
2862A,Am,13.33,36.75
2692A,Am,13.33,36.75
2642A,Am,13.33,36.75
2662A,Am,13.33,36.75
2694A,Am,13.33,36.75
2765A,Am,13.33,36.75
2711A,Am,13.33,36.75
2586A,Am,13.33,36.75
2676A,Am,13.33,36.75
2687A,Am,13.33,36.75
2962A,Am,13.33,36.75
2613A,Am,13.33,36.75
2678A,Am,13.33,36.75
2684A,Am,13.33,36.75
2679A,Am,13.33,36.75
2604A,Am,13.33,36.75
2703A,Am,13.33,36.75
2766A,Am,13.33,36.75
2934A,Am,13.33,36.75
2936A,Am,13.33,36.75
2875A,Am,13.33,36.75
2931A,Am,13.33,36.75
2037A,Am,13.39,36.45
2076A,Am,13.39,36.45
2090A,Am,13.39,36.45
2176A,Am,13.39,36.45
2271A,Am,13.39,36.45
2455A,Am,13.39,36.45
2461A,Am,13.39,36.45
2297A,Am,13.39,36.45
2427-A,Am,13.39,36.45
2138A,Am,13.39,36.45
2428-A,Am,13.39,36.45
2299-DA,Am,13.39,36.45
2075A,Am,13.39,36.45
2132A,Am,13.39,36.45
2441A,Am,13.39,36.45
2485A,Am,13.39,36.45
2290A,Am,13.39,36.45
2490A,Am,13.39,36.45
2214A,Am,13.39,36.45
2112A,Am,13.39,36.45
2479A,Am,13.39,36.45
2467A,Am,13.39,36.45
2172A,Am,13.39,36.45
2179A,Am,13.39,36.45
2464DA,Am,13.39,36.45
2279DA,Am,13.39,36.45
2177A,Am,13.39,36.45
2426-A,Am,13.39,36.45
2032DA,Am,13.39,36.45
2171-DA,Am,13.39,36.45
2286A,Am,13.39,36.45
2282A,Am,13.39,36.45
2435A,Am,13.39,36.45
2454-A,Am,13.39,36.45
2116DA,Am,13.39,36.45
2393-A,Am,13.39,36.45
2213A,Am,13.39,36.45
2298A,Am,13.39,36.45
2287A,Am,13.39,36.45
2274A,Am,13.39,36.45
2430A,Am,13.39,36.45
2270A,Am,13.39,36.45
2295-A,Am,13.39,36.45
2451-A,Am,13.39,36.45
2293-A,Am,13.39,36.45
2105-A,Am,13.39,36.45
2276A,Am,13.39,36.45
2456-A,Am,13.39,36.45
2442-DA,Am,13.39,36.45
2452-A,Am,13.39,36.45
2296-DA,Am,13.39,36.45
2137DA,Am,13.39,36.45
2457-A,Am,13.39,36.45
2443-DA,Am,13.39,36.45
2174A,Am,13.39,36.45
2300-DA,Am,13.39,36.45
2424-A,Am,13.39,36.45
2272A,Am,13.39,36.45
2091-DA,Am,13.39,36.45
2453-A,Am,13.39,36.45
2463-A,Am,13.39,36.45
2111A,Am,13.39,36.45
2497A,Am,13.39,36.45
2077A,Am,13.39,36.45
2288A,Am,13.39,36.45
2431A,Am,13.39,36.45
2470A,Am,13.39,36.45
2144A,Am,13.39,36.45
2175A,Am,13.39,36.45
2278A,Am,13.39,36.45
2186A,Am,13.39,36.45
2438A,Am,13.39,36.45
2480A,Am,13.39,36.45
2001A,Am,13.39,36.45
2482A,Am,13.39,36.45
2446A,Am,13.39,36.45
2269A,Am,13.39,36.45
2489A,Am,13.39,36.45
2462A,Am,13.39,36.45
2080-A,Am,13.39,36.45
2460A,Am,13.39,36.45
2108A,Am,13.39,36.45
2415-A,Am,13.39,36.45
2294-A,Am,13.39,36.45
2493A,Am,13.39,36.45
2083A,Am,13.39,36.45
2241A,Am,13.39,36.45
2280-A,Am,13.39,36.45
2251A,Am,13.39,36.45
2466-A,Am,13.39,36.45
2459A,Am,13.39,36.45
2469A,Am,13.39,36.45
2283A,Am,13.39,36.45
2016A,Am,13.39,36.45
2447A,Am,13.39,36.45
2486A,Am,13.39,36.45
2180A,Am,13.39,36.45
2465A,Am,13.39,36.45
2487A,Am,13.39,36.45
2432A,Am,13.39,36.45
2433A,Am,13.39,36.45
2481A,Am,13.39,36.45
2024A,Am,13.39,36.45
2027A,Am,13.39,36.45
2284A,Am,13.39,36.45
2181A,Am,13.39,36.45
2281A,Am,13.39,36.45
2291A,Am,13.39,36.45
2440A,Am,13.39,36.45
2035A,Am,13.39,36.45
E18-1375G,GA,8.2,34.267
E18-1376G,GA,8.2,34.267
E18-1384G,GA,8.2,34.267
E18-1381G,GA,8.2,34.267
E18-1366G,GA,8.2,34.267
E18-1373G,GA,8.2,34.267
E18-1382G,GA,8.2,34.267
2448A,GA,8.2,34.267
2581A,GA,8.2,34.267
2565-A,GA,8.2,34.267
2564A,GA,8.2,34.267
1213A,GA,8.2,34.267
2631-A,GA,8.2,34.267
1370A,GA,8.2,34.267
2100A,GA,8.2,34.267
E18-1374G,GA,8.2,34.267
E18-1371DG,GA,8.2,34.267
E18-1368G,GA,8.2,34.267
2585A,GA,8.2,34.267
1361A,GA,8.25,34.58
E18-1456G,GA,8.25,34.58
E18-1459G,GA,8.25,34.58
1428A,GA,8.25,34.58
E18-1425G,GA,8.25,34.58
1304A,GA,8.25,34.58
3447T,GA,8.25,34.58
1404A,GA,8.25,34.58
1426A,GA,8.25,34.58
E18-1356G,GA,8.25,34.58
1365A,GA,8.25,34.58
E18-1432G,GA,8.25,34.58
2484A,GA,8.25,34.58
E18-1457G,GA,8.25,34.58
3450T,GA,8.25,34.58
1309A,GA,8.25,34.58
1406A,GA,8.25,34.58
3448T,GA,8.25,34.58
1295A,GA,8.25,34.58
1292A,GA,8.25,34.58
1093A,GA,8.25,34.58
1310A,GA,8.25,34.58
E18-1458G,GA,8.25,34.58
E18-1450G,GA,8.25,34.58
E18-1429G,GA,8.25,34.58
3106T,GA,8.25,34.58
E18-1452G,GA,8.25,34.58
E18-1364G,GA,8.25,34.58
1363A,GA,8.25,34.58
1393A,GA,8.25,34.58
1311A,GA,8.25,34.58
E18-1451G,GA,8.25,34.58
1303A,GA,8.25,34.58
E18-1453G,GA,8.25,34.58
2450A,GA,8.25,34.58
1357A,GA,8.25,34.58
E18-1377DG,GA,8.25,34.58
E18-1378G,GA,8.25,34.58
E18-1379G,GA,8.25,34.58
E18-1385G,GA,8.25,34.58
E18-1424G,GA,8.25,34.58
E18-1430G,GA,8.25,34.58
E18-1431G,GA,8.25,34.58
E18-1454G,GA,8.25,34.58
E18-1460G,GA,8.25,34.58
E18-1461G,GA,8.25,34.58
E18-1464G,GA,8.25,34.58
2594A,GA,8.25,34.58
E18-1360G,GA,8.25,34.58
E18-1427G,GA,8.25,34.58
1358A,GA,8.25,34.58
E18-1355G,GA,8.25,34.58
E18-1386G,GA,8.25,34.58
E18-1380G,GA,8.25,34.58
2507A,GA,8.25,34.58
E18-1383G,GA,8.25,34.58
3103T,GA,8.25,34.58
3196T,GA,8.25,34.58
3451T,GA,8.25,34.58
1362A,GA,8.25,34.58
2566A,GA,8.25,34.58
3104T,GA,8.25,34.58
E18-1465G,GA,8.25,34.58
3385T,GA,8.25,34.58
2567A,GA,8.25,34.58
5432T,Tg,14.28,39.15
5310T,Tg,14.28,39.15
5498T,Tg,14.28,39.15
5434T,Tg,14.28,39.15
5373DT,Tg,14.28,39.15
5375DT,Tg,14.28,39.15
5313T,Tg,14.28,39.15
5269DT,Tg,14.28,39.15
5495DT,Tg,14.28,39.15
5491T,Tg,14.28,39.15
5374T,Tg,14.28,39.15
5435T,Tg,14.28,39.15
5431T,Tg,14.28,39.15
5082T,Tg,14.28,39.15
5311T,Tg,14.28,39.15
5371T,Tg,14.28,39.15
5089A,Tg,14.28,39.15
5378A,Tg,14.28,39.15
5128T,Tg,14.28,39.15
5377T,Tg,14.28,39.15
5376T,Tg,14.28,39.15
5433T,Tg,14.28,39.15
5312T,Tg,14.28,39.15
5314T,Tg,14.28,39.15
5372T,Tg,14.28,39.15
5497T,Tg,14.28,39.15
2121A,Tg,14.11,38.25
3320T,Tg,14.11,38.25
3387-DT,Tg,14.11,38.25
3393T,Tg,14.11,38.25
3394DT,Tg,14.11,38.25
3435T,Tg,14.11,38.25
3557-DT,Tg,14.11,38.25
3195-A,Tg,14.11,38.25
3181T,Tg,14.11,38.25
3438T,Tg,14.11,38.25
3315T,Tg,14.11,38.25
3440T,Tg,14.11,38.25
3437T,Tg,14.11,38.25
3121-A,Tg,14.11,38.25
3123T,Tg,14.11,38.25
3129T,Tg,14.11,38.25
3389-DT,Tg,14.11,38.25
3130T,Tg,14.11,38.25
3558T,Tg,14.11,38.25
3399T,Tg,14.11,38.25
3439DT,Tg,14.11,38.25
3108-DT,Tg,14.11,38.25
3126T,Tg,14.11,38.25
3100-DT,Tg,14.11,38.25
3115-DT,Tg,14.11,38.25
3390-DT,Tg,14.11,38.25
3102-DT,Tg,14.11,38.25
3101-DT,Tg,14.11,38.25
3193-A,Tg,14.11,38.25
3109-DT,Tg,14.11,38.25
3392T,Tg,14.11,38.25
3114-DT,Tg,14.11,38.25
3107-DT,Tg,14.11,38.25
3319T,Tg,14.11,38.25
3056-DT,Tg,14.11,38.25
3318-DT,Tg,14.11,38.25
3112-DT,Tg,14.11,38.25
3182-T,Tg,14.11,38.25
3113-DT,Tg,14.11,38.25
3111-DT,Tg,14.11,38.25
3098-DT,Tg,14.11,38.25
3183T,Tg,14.11,38.25
3184T,Tg,14.11,38.25
3186T,Tg,14.11,38.25
3117-DT,Tg,14.11,38.25
3125T,Tg,14.11,38.25
3110T,Tg,14.11,38.25
3436T,Tg,14.11,38.25
3391-DT,Tg,14.11,38.25
3194-DT,Tg,14.11,38.25
3105-DT,Tg,14.11,38.25
3396T,Tg,14.11,38.25
3124T,Tg,14.11,38.25
3133T,Tg,14.11,38.25
3317A,Tg,14.11,38.25
3128T,Tg,14.11,38.25
3132T,Tg,14.11,38.25
3316T,Tg,14.11,38.25
3189T,Tg,14.11,38.25
3131T,Tg,14.11,38.25
3187A,Tg,14.11,38.25
3127T,Tg,14.11,38.25
3397T,Tg,14.11,38.25
5602T,Tg,14.33,39.32
5603T,Tg,14.33,39.32
3819T,Tg,14.33,39.32
3933DT,Tg,14.33,39.32
3818T,Tg,14.33,39.32
3934A,Tg,14.33,39.32
3772T,Tg,14.33,39.32
5600T,Tg,14.33,39.32
5594T,Tg,14.33,39.32
3690T,Tg,14.33,39.32
5596A,Tg,14.33,39.32
3771T,Tg,14.33,39.32
3817A,Tg,14.33,39.32
5604A,Tg,14.33,39.32
5597T,Tg,14.33,39.32
3931T,Tg,14.33,39.32
5599T,Tg,14.33,39.32
3932T,Tg,14.33,39.32
3935T,Tg,14.33,39.32
3805-A,Tg,14.29,36.6
4624-T,Tg,14.29,36.6
4643DT,Tg,14.29,36.6
3811-DT,Tg,14.29,36.6
3802-A,Tg,14.29,36.6
3453T,Tg,14.29,36.6
4623T,Tg,14.29,36.6
4837T,Tg,14.29,36.6
3808T,Tg,14.29,36.6
4626T,Tg,14.29,36.6
4901DT,Tg,14.29,36.6
4877T,Tg,14.29,36.6
3787DT,Tg,14.29,36.6
4609-DT,Tg,14.29,36.6
4705T,Tg,14.29,36.6
4606-DT,Tg,14.29,36.6
4631-T,Tg,14.29,36.6
3813-DT,Tg,14.29,36.6
4898DT,Tg,14.29,36.6
4610-T,Tg,14.29,36.6
4634-A,Tg,14.29,36.6
3810-DT,Tg,14.29,36.6
4642-DT,Tg,14.29,36.6
4632-DT,Tg,14.29,36.6
4637-DT,Tg,14.29,36.6
4548-DT,Tg,14.29,36.6
4638-DT,Tg,14.29,36.6
3346T,Tg,14.29,36.6
4639-DT,Tg,14.29,36.6
3803-A,Tg,14.29,36.6
